Year,Month,Species
2013,4,bairds
2017,5,bairds
2019,5,bairds
2021,5,bairds
2023,5,bairds
2024,5,bairds
2025,5,bairds
2018,6,bairds
2021,6,bairds
2023,6,bairds
2020,7,bairds
2021,7,bairds
2024,7,bairds
2018,8,bairds
2020,8,bairds
2021,8,bairds
2022,8,bairds
2023,8,bairds
2016,9,bairds
2022,1,goosebeaked
2022,2,goosebeaked
2011,4,goosebeaked
2016,6,goosebeaked
2015,7,goosebeaked
2023,7,goosebeaked
2025,7,goosebeaked
2016,8,goosebeaked
2023,8,goosebeaked
2019,10,goosebeaked
2010,11,goosebeaked
2018,11,goosebeaked
2018,12,goosebeaked